brand,count_brand
ASTON MARTIN,70
AUDI,1320
BMW,3920
FIAT,1612
JAGUAR,419
LAMBORGHINI,9
LOTUS,16
MAZDA,2045
MCLAREN,29
MERCEDES BENZ,2572
MINI,624
MORGAN,4
PORSCHE,677
SUBARU,2105
BIGFOOT,13
CFMOTO,65
DAYUN,40
EUROMOT,70
HERO-PUCH,19
INDIAN,82
KAWASAKI,893
KEEWAY,147
KTM,824
KYMCO,162
LONCIN,279
MOTORRAD,570
ODES,13
POLARIS,327
SHINERAY,73
SPITZ,140
SUZUKI,3500
TAKASAKI,614
YAMAHA,1782
YAMAMOTO,11
LINHAI,17
GDM,1
RBS,2
BRP CAN AM,121
CF MOTO,25
ASIA MOTORS,96
BAIC,116
BRILLIANCE,169
CHANGAN,451
CHEVROLET,4015
CITROEN,1767
COMMER,2
DAEWOO,334
DAIHATSU,626
DATSUN,424
DONGFENG,336
FORD,2497
FOTON,268
GAC GONOW,50
HAFEI,46
HAIMA,33
HONDA,2711
HYUNDAI,3266
ISUZU,39
IVECO,7
JAC,690
KENBO,14
KIA MOTORS,2384
LADA,195
LIFAN,271
MAXUS,118
MITSUBISHI,1336
OPEL,683
PEUGEOT,2820
RENAULT,1537
SANFU,1
SEAT,283
TOYOTA,2797
VOLKSWAGEN,2517
ZASTAVA,37
RAM,145
DFSK,182
KYC,99
AMERICAN MOTORS,52
AUSTIN,87
AUTORRAD,26
DACIA,10
DODGE,658
FAW,110
G.M.C.,40
GREAT WALL,489
INTERNATIONAL,24
JEEP,562
JMC,59
LAND ROVER,734
MAHINDRA,329
MORRIS,2
NISSAN,3059
SAEHAN,11
SAMSUNG,242
SG,6
SKODA,394
SSANGYONG,802
TATA,31
YUGO,18
ZX,68
ZNA,12
VOLTERA,1
UAZ,15
FARIZON,2
ALFA ROMEO,399
BYD,99
CHANGHE,8
CHERY,363
CHRYSLER,262
F.S.O.,12
FERRARI,82
MASERATI,147
GEELY,166
LANCIA,89
LEXUS,329
MERCURY,50
MG,359
PLYMOUTH,39
PROTON,90
ROVER,152
SMA,20
VOLVO,1334
DS AUTOMOBILES,98
MAPLE,2
APRILIA,114
BAJAJ,25
BASHAN,4
BENELLI,80
BENYI,2
BENZHOU,2
BIMOTA,85
BOATIAN,2
BUELL,31
BULTACO,18
CAGIVA,12
DAELIM,14
DUCATI,360
DUNNA,5
DYNA,5
FLSTF,5
FOX,3
FXA,5
GARELLI,9
GASGAS,49
GILERA,22
GUZZI,53
HAO JUE,18
HARLEY-DAVIDSON,714
HARTFORD,2
HENSIM,19
HUSABERG,38
HUSQVARNA,305
HYOSUNG,109
JAWA,13
JIANSHE,20
KAYAK,6
KINLON,193
LAMBRETTA,2
LML,15
LUOJIA,5
MAICO,2
MONTELLI,13
MONTESA,46
MOTO BECANE,2
MOTOMEL,20
MSK,43
MV AGUSTA,326
OSSA,1
PGO,8
PIAGGIO,57
PIONNER,4
REGAL RAPTOR,85
RIZATO,3
SACHS,21
SANLG,48
SANYA,7
SANYANG SYM,116
SKYGO,3
TM,235
TORITO,3
TRIUMPH,411
TVS,8
UNITED MOTORS,136
URAL,5
VERONA,11
VESPA,73
WANGYE,2
WOLKEN,5
XGJAO,6
XINGYUE,6
XMOTORS,2
YINXIANG,12
ZANELLAS,1
ZNEN GROUP,1
ZONGSHEN,71
ZUNDAPP,5
ROYAL ENFIELD,35
PALLA,1
SUPER SOCO,1
MOTRAC,5
CORSA,49
ZONTES,46
E - TAKASAKI,8
AIMA,3
SWM,13
VOGE,34
SPEED UP,6
ITALJET,2
DAGGER,1
ACADIAN,8
ACURA,48
BENTLEY,21
BUICK,77
CADILLAC,57
CATERHAM,2
HILLMAN,6
INFINITI,111
LINCOLN,4
NSU,3
OLDSMOBILE,212
POLSKI FIAT,2
PONTIAC,198
PUMA,5
ROLLS ROYCE,23
SAAB,126
SIMCA,1
KARMA,1
GAC,38
EXEED,11
ARO,15
BEIGING,1
HAVAL,169
LANDWIND,4
WILLYS,2
ZOTYE,27
JETOUR,20
CUPRA,7
KAIYI,1
OMODA,3
JAECOO,3
TESLA,1
JINBEI,42
